ID,FoodGroup,Descrip,CommonName,MfgName,ScientificName,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg,Manganese_mg,Phosphorus_mg,Selenium_mcg,Zinc_mg
23292,Beef Products,"Beef, top loin petite roast/filet, boneless, separable lean and fat, trimmed to 1/8"" fat, select, raw","URMIS #1320, Longissimus dorsi, URMIS #1322",No name,No name,170.0,21.6,9.3,0.0,0.0,0.0,4.0,0.399,2.79,0.0,0.0,3.0,3.901,0.287,0.156,7.0,0.132,2.98,26.0,0.0,225.0,23.7,8.5
8616,Breakfast Cereals,"Cereals ready-to-eat, KELLOGG's FROSTED MINI-WHEATS Bite Size Cinnamon Streusel",No name,"Kellogg, Co.",No name,349.0,8.8,1.6,84.6,22.5,10.8,0.0,0.93,2.8,0.0,0.67,616.0,9.3,0.79,0.69,36.0,0.0,30.0,83.0,0.0,354.0,0.0,2.8
5357,Poultry Products,"Chicken, broiler, rotisserie, BBQ, back meat and skin",No name,No name,No name,251.0,20.29,18.86,0.4,0.4,0.0,24.0,0.153,0.6,0.0,0.26,7.0,5.621,0.185,0.065,33.0,0.061,0.83,19.0,0.006,217.0,35.4,1.51
22963,"Meals, Entrees, and Side Dishes","Lean Pockets, Meatballs & Mozzarella",No name,No name,No name,240.0,10.49,7.7,32.28,8.81,2.0,36.0,0.102,0.46,0.0,0.0,0.0,2.982,0.248,0.428,196.0,0.08199999999999999,2.06,23.0,0.289,180.0,10.1,0.98
11338,Vegetables and Vegetable Products,"Peppers, sweet, green, frozen, chopped, boiled, drained, without salt",No name,No name,No name,18.0,0.95,0.18,3.9,0.0,0.9,15.0,0.108,0.0,41.2,0.0,10.0,1.082,0.031,0.051,8.0,0.044,0.52,7.0,0.097,13.0,0.2,0.05
20127,Cereal Grains and Pasta,"Spaghetti, spinach, cooked",No name,No name,No name,130.0,4.58,0.63,26.15,0.0,0.0,8.0,0.096,0.0,0.0,0.0,12.0,1.53,0.103,0.097,30.0,0.205,1.04,62.0,1.504,108.0,22.1,1.08
5653,Poultry Products,"Ostrich, round, raw",No name,No name,Struthio camelus,116.0,21.99,2.4,0.0,0.0,0.0,0.0,0.517,5.01,0.0,0.2,8.0,4.761,0.29,0.198,5.0,0.139,3.54,22.0,0.018000000000000002,216.0,35.8,3.8
11365,Vegetables and Vegetable Products,"Potatoes, boiled, cooked in skin, flesh, without salt",No name,No name,No name,87.0,1.87,0.1,20.13,0.87,1.8,0.0,0.299,0.0,13.0,0.01,10.0,1.439,0.02,0.106,5.0,0.188,0.31,22.0,0.138,44.0,0.3,0.3
13358,Sausages and Luncheon Meats,"Beef, cured, smoked, chopped beef",No name,No name,No name,133.0,20.19,4.42,1.86,0.0,0.0,0.0,0.35,1.73,0.0,0.0,8.0,4.577,0.175,0.083,8.0,0.026,2.85,21.0,0.029,181.0,19.7,3.93
16426,Legumes and Legume Products,"Tofu, raw, firm, prepared with calcium sulfate",No name,No name,No name,145.0,15.78,8.72,4.27,0.0,2.3,0.0,0.092,0.0,0.2,0.0,29.0,0.381,0.102,0.158,683.0,0.378,2.66,58.0,1.181,190.0,17.4,1.57
